PLUS,MINUS,MULT,DIVIDE,OPENBY,CLOSEBY,ID,NUM,VAR,CONST,PV,VIR,EQ,WRITE,READ,AFF,END
,,,,,,,,r22,r22,,,,,,,r22
,,,,,,,,,,,,,,,,acc
,,,,,,,,d13,d3,,,,,,,r23
,,,,,,d4,,,,,,,,,,
,,,,,,,,,,,,d5,,,,
,,,,,,,d6,,,,,,,,,
,,,,,,,,,,r8,r8,,,,,
,,,,,,,,,,r25,r25,,,,,
,,,,,,,,,,r6,d9,,,,,
,,,,,,d4,,,,,,,,,,
,,,,,,,,,,r10,r10,,,,,
,,,,,,,,,,d12,,,,,,
,,,,,,,,r2,r2,,,,,,,r2
,,,,,,d14,,,,,,,,,,
,,,,,,,,,,r24,r24,,,,,
,,,,,,,,,,r4,d16,,,,,
,,,,,,d17,,,,,,,,,,
,,,,,,,,,,r5,r5,,,,,
,,,,,,d23,,,,,,,d24,d21,,r1
,,,,,,,,,,d20,,,,,,
,,,,,,r3,,,,,,,r3,r3,,r3
,,,,,,d22,,,,,,,,,,
,,,,,,,,,,r11,,,,,,
,,,,,,,,,,,,,,,d27,
,,,,d31,,d32,d33,,,,,,,,,
,,,,,,,,,,r9,,,,,,
,,,,,,,,,,r10,,,,,,
,,,,d31,,d32,d33,,,,,,,,,
d34,d35,,,,,,,,,r12,,,,,,
r15,r15,d36,d37,,r15,,,,,r15,,,,,,
r18,r18,r18,r18,,r18,,,,,r18,,,,,,
,,,,d31,,d33,d32,,,,,,,,,
r20,r20,r20,r20,,r20,,,,,r20,,,,,,
r21,r21,r21,r21,,r21,,,,,r21,,,,,,
,,,,d31,,d32,d33,,,,,,,,,
,,,,d31,,d32,d33,,,,,,,,,
,,,,d31,,d32,d33,,,,,,,,,
,,,,d31,,d32,d33,,,,,,,,,
d34,d35,,,,d41,,,,,,,,,,,
r14,r14,d36,d37,,r14,,,,,r14,,,,,,
r17,r17,r17,r17,,r17,,,,,r17,,,,,,
r19,r19,r19,r19,,r19,,,,,r19,,,,,,
r13,r13,d36,d37,,r13,,,,,r13,,,,,,
r16,r16,r16,r16,,r16,,,,,r16,,,,,,
